target_pool_id,target_cif_id,target_source,target_density,target_metal_fraction,space,rank,neighbour_pool_id,neighbour_cif_id,neighbour_source,neighbour_density,neighbour_metal_fraction,delta_density
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,proxy_kNN (baseline),1,qmof__core_FATKES_freeONLY,core_FATKES_freeONLY,qmof,0.1090898140190581,0.0408163265306122,-0.0010124789596813039
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,proxy_kNN (baseline),2,qmof__PEKHEU_FSR,PEKHEU_FSR,qmof,0.1069006533401286,0.0408163265306122,-0.0032016396386107954
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,proxy_kNN (baseline),3,coremof__FATKOC_clean,FATKOC_clean,coremof,0.1059964404895304,0.05,-0.004105852489209
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,proxy_kNN (baseline),4,coremof__COYTUG_clean,COYTUG_clean,coremof,0.1049441985067141,0.0454545454545454,-0.005158094472025296
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,proxy_kNN (baseline),5,coremof__CAMROA_clean,CAMROA_clean,coremof,0.1091473050731749,0.048780487804878,-0.0009549879055645027
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,random_kNN (baseline),1,hmof__lim+N193+N25+E167+E168,lim+N193+N25+E167+E168,hmof,0.1463350337003796,0.0051546391752577,0.03623274072164019
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,random_kNN (baseline),2,hmof__dmp+N32+E153,dmp+N32+E153,hmof,0.0555561152892549,0.0204081632653061,-0.0545461776894845
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,random_kNN (baseline),3,qmof__RORVOM_FSR,RORVOM_FSR,qmof,0.0979214082438303,0.0434782608695652,-0.012180884734909095
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,random_kNN (baseline),4,hmof__wli+N482+E13,wli+N482+E13,hmof,0.0676533110995297,0.0579710144927536,-0.0424489818792097
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,random_kNN (baseline),5,hmof__smm+N678+E73,smm+N678+E73,hmof,0.1892052037401491,0.0103092783505154,0.0791029107614097
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (cls),1,qmof__CILDAD_FSR,CILDAD_FSR,qmof,0.0923795861095093,0.0588235294117647,-0.017722706869230095
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (cls),2,qmof__OTEPAF_FSR,OTEPAF_FSR,qmof,0.0508972303004023,0.0454545454545454,-0.0592050626783371
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (cls),3,qmof__VORBUA_FSR,VORBUA_FSR,qmof,0.0431073420032695,0.0416666666666666,-0.0669949509754699
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (cls),4,qmof__JESXEL_FSR,JESXEL_FSR,qmof,0.0557159567250835,0.0555555555555555,-0.0543863362536559
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (cls),5,coremof__NIMVEL_clean,NIMVEL_clean,coremof,0.0891169727022433,0.0588235294117647,-0.020985320276496106
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (raw_cls),1,coremof__DOQHAT_clean,DOQHAT_clean,coremof,0.0512786323895743,0.0625,-0.0588236605891651
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (raw_cls),2,coremof__DOQHIB_clean,DOQHIB_clean,coremof,0.0527003437251295,0.0625,-0.0574019492536099
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (raw_cls),3,qmof__CILDAD_FSR,CILDAD_FSR,qmof,0.0923795861095093,0.0588235294117647,-0.017722706869230095
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (raw_cls),4,qmof__OTEPAF_FSR,OTEPAF_FSR,qmof,0.0508972303004023,0.0454545454545454,-0.0592050626783371
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (raw_cls),5,coremof__NIMVEL_clean,NIMVEL_clean,coremof,0.0891169727022433,0.0588235294117647,-0.020985320276496106
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (concat),1,qmof__MOCHUI_FSR,MOCHUI_FSR,qmof,0.0297305095216528,0.0833333333333333,-0.08037178345708659
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (concat),2,coremof__DOHYIJ01_clean,DOHYIJ01_clean,coremof,0.0664034129544036,0.0588235294117647,-0.04369888002433579
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (concat),3,qmof__MOCHIW_FSR,MOCHIW_FSR,qmof,0.026697411299274,0.0833333333333333,-0.0834048816794654
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (concat),4,coremof__XOFTOC_clean,XOFTOC_clean,coremof,0.124211199746399,0.0849056603773584,0.014108906767659607
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (concat),5,coremof__XOFTIW_clean,XOFTIW_clean,coremof,0.1219044441138025,0.0849056603773584,0.011802151135063096
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,proxy_kNN (baseline),1,qmof__boydwoo_str_m3_o22_o27_pcu_sym_131,boydwoo_str_m3_o22_o27_pcu_sym_131,qmof,0.0299995727679493,0.0232558139534883,0.0020605312258509013
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,proxy_kNN (baseline),2,qmof__NATYUF_FSR,NATYUF_FSR,qmof,0.0284007568419821,0.0232558139534883,0.00046171529988370263
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,proxy_kNN (baseline),3,qmof__YEGYAM_FSR,YEGYAM_FSR,qmof,0.0322366192623388,0.0222222222222222,0.004297577720240399
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,proxy_kNN (baseline),4,qmof__OCIBEK_FSR,OCIBEK_FSR,qmof,0.0335108318917371,0.0217391304347826,0.0055717903496387
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,proxy_kNN (baseline),5,qmof__CUYSAR_FSR,CUYSAR_FSR,qmof,0.0265695909440127,0.0263157894736842,-0.0013694505980857002
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,random_kNN (baseline),1,hmof__bbg+N238+N99+E138+E21,bbg+N238+N99+E138+E21,hmof,0.1807731043681247,0.0046948356807511,0.1528340628260263
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,random_kNN (baseline),2,hmof__hwx+N198+N79+E128,hwx+N198+N79+E128,hmof,0.1478980576997819,0.0153061224489795,0.1199590161576835
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,random_kNN (baseline),3,qmof__FIQYOV01_FSR,FIQYOV01_FSR,qmof,0.0520071011906903,0.0303030303030303,0.024068059648591898
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,random_kNN (baseline),4,hmof__tty+N326+N695+E215+E188,tty+N326+N695+E215+E188,hmof,0.0943513448065802,0.0109890109890109,0.0664123032644818
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,random_kNN (baseline),5,coremof__LAGWUN_clean,LAGWUN_clean,coremof,0.1227106667044211,0.0952380952380952,0.09477162516232271
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (cls),1,qmof__MEYFEB_FSR,MEYFEB_FSR,qmof,0.0516924023974207,0.05,0.0237533608553223
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (cls),2,qmof__ISUDIJ_FSR,ISUDIJ_FSR,qmof,0.0337302396212123,0.0238095238095238,0.0057911980791139
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (cls),3,qmof__OVEGUS_FSR,OVEGUS_FSR,qmof,0.0381696980563779,0.0196078431372549,0.010230656514279499
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (cls),4,qmof__LOPNOT_FSR,LOPNOT_FSR,qmof,0.0306356367631694,0.0212765957446808,0.0026965952210710013
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (cls),5,qmof__PELTOQ_FSR,PELTOQ_FSR,qmof,0.0456432758973558,0.0454545454545454,0.0177042343552574
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (raw_cls),1,qmof__YIJLOV_FSR,YIJLOV_FSR,qmof,0.0275390419530742,0.0217391304347826,-0.00039999958902419905
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (raw_cls),2,qmof__PELTOQ_FSR,PELTOQ_FSR,qmof,0.0456432758973558,0.0454545454545454,0.0177042343552574
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (raw_cls),3,qmof__ISUDIJ_FSR,ISUDIJ_FSR,qmof,0.0337302396212123,0.0238095238095238,0.0057911980791139
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (raw_cls),4,qmof__OVEGUS_FSR,OVEGUS_FSR,qmof,0.0381696980563779,0.0196078431372549,0.010230656514279499
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (raw_cls),5,qmof__LOPNOT_FSR,LOPNOT_FSR,qmof,0.0306356367631694,0.0212765957446808,0.0026965952210710013
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (concat),1,qmof__KIBNIU_FSR,KIBNIU_FSR,qmof,0.0549426044521418,0.0344827586206896,0.027003562910043404
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (concat),2,qmof__JOFKOF_FSR,JOFKOF_FSR,qmof,0.0408601801233232,0.0166666666666666,0.012921138581224803
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (concat),3,qmof__YIJLOV_FSR,YIJLOV_FSR,qmof,0.0275390419530742,0.0217391304347826,-0.00039999958902419905
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (concat),4,qmof__GUWGUB_FSR,GUWGUB_FSR,qmof,0.0494602774958863,0.0163934426229508,0.021521235953787902
qmof__ABIFAT01_FSR,ABIFAT01_FSR,qmof,0.0279390415420984,0.0232558139534883,latent (concat),5,qmof__NAGDEH_FSR,NAGDEH_FSR,qmof,0.0436394832910043,0.0163934426229508,0.015700441748905898
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,proxy_kNN (baseline),1,qmof__TAHDUD_FSR,TAHDUD_FSR,qmof,0.0359851669578759,0.0454545454545454,-0.0006019220208637946
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,proxy_kNN (baseline),2,qmof__MGPHCU_FSR,MGPHCU_FSR,qmof,0.035504486667621,0.0434782608695652,-0.0010826023111186953
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,proxy_kNN (baseline),3,qmof__HUPZAV_FSR,HUPZAV_FSR,qmof,0.0421386664536112,0.0476190476190476,0.005551577474871505
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,proxy_kNN (baseline),4,qmof__XEKYUI01_FSR,XEKYUI01_FSR,qmof,0.0451032435033959,0.0444444444444444,0.008516154524656205
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,proxy_kNN (baseline),5,qmof__NOQCAZ_FSR,NOQCAZ_FSR,qmof,0.0336521605255003,0.0434782608695652,-0.0029349284532393938
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,random_kNN (baseline),1,qmof__IFIFAF_FSR,IFIFAF_FSR,qmof,0.0443542349159696,0.0454545454545454,0.007767145937229901
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,random_kNN (baseline),2,qmof__boydwoo_str_m7_Zn_o1_o11_bcu_sym_174,boydwoo_str_m7_Zn_o1_o11_bcu_sym_174,qmof,0.0275923303201873,0.0363636363636363,-0.008994758658552399
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,random_kNN (baseline),3,hmof__acs+N354+E66,acs+N354+E66,hmof,0.076538868200462,0.075,0.03995177922172231
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,random_kNN (baseline),4,hmof__pto-d+N666+N255+E24+E10,pto-d+N666+N255+E24+E10,hmof,0.2100190927566022,0.0094786729857819,0.1734320037778625
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,random_kNN (baseline),5,coremof__EPEWEC_clean,EPEWEC_clean,coremof,0.0706612272395606,0.0344827586206896,0.0340741382608209
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (cls),1,qmof__CUYDAC_FSR,CUYDAC_FSR,qmof,0.0353804324373181,0.0232558139534883,-0.0012066565414215955
